distribution,sign,shock,variable,time,value
Gaussian,neg,eta_z,ahat,11,-8.50487036183008e-19
Gaussian,neg,eta_z,ahat,12,-7.77631951342353e-19
Gaussian,neg,eta_z,ahat,13,-7.08968234765795e-19
Gaussian,neg,eta_z,ahat,14,-6.45025442599366e-19
Gaussian,neg,eta_z,ahat,15,-5.85968535938974e-19
Gaussian,neg,eta_z,ehat,1,3.77072736097768e-19
Gaussian,neg,eta_z,ehat,2,1.54384256132083e-18
Gaussian,neg,eta_z,ehat,3,2.30380066402245e-18
Gaussian,neg,eta_z,ehat,4,2.79470293076431e-18
Gaussian,neg,eta_z,ehat,5,3.10769477645336e-18
Gaussian,neg,eta_z,ehat,6,3.30308171450607e-18
Gaussian,neg,eta_z,ehat,7,3.42076398583944e-18
Gaussian,neg,eta_z,ehat,8,3.48714065178452e-18
Gaussian,neg,eta_z,ehat,9,3.51967770079083e-18
Gaussian,neg,eta_z,ehat,10,3.52993054521549e-18
Gaussian,neg,eta_z,ehat,11,3.52554386224176e-18
Gaussian,neg,eta_z,ehat,12,3.51157479251011e-18
Gaussian,neg,eta_z,ehat,13,3.49136843703615e-18
Gaussian,neg,eta_z,ehat,14,3.46713713140138e-18
Gaussian,neg,eta_z,ehat,15,3.44034372358885e-18
Gaussian,neg,eta_z,zhat,1,-0.00881586913465446
Gaussian,neg,eta_z,zhat,2,-4.89802111713787e-20
Gaussian,neg,eta_z,zhat,3,-3.24078540321708e-20
Gaussian,neg,eta_z,zhat,4,-2.14427210061562e-20
Gaussian,neg,eta_z,zhat,5,-1.41876189546961e-20
Gaussian,neg,eta_z,zhat,6,-9.38726626839294e-21
Gaussian,neg,eta_z,zhat,7,-6.21110337647881e-21
Gaussian,neg,eta_z,zhat,8,-4.1095888888545e-21
Gaussian,neg,eta_z,zhat,9,-2.71911765296856e-21
Gaussian,neg,eta_z,zhat,10,-1.7991095972488e-21
Gaussian,neg,eta_z,zhat,11,-1.19038443937096e-21
Gaussian,neg,eta_z,zhat,12,-7.87620229286401e-22
Gaussian,neg,eta_z,zhat,13,-5.2113048949879e-22
Gaussian,neg,eta_z,zhat,14,-3.44807023724215e-22
Gaussian,neg,eta_z,zhat,15,-2.28142252286724e-22
Gaussian,neg,eta_z,xhat,1,0.00425749441923339
Gaussian,neg,eta_z,xhat,2,0.00281697964099272
Gaussian,neg,eta_z,xhat,3,0.00186386017605077
Gaussian,neg,eta_z,xhat,4,0.00123322678847752
Gaussian,neg,eta_z,xhat,5,0.000815966954689179
Gaussian,neg,eta_z,xhat,6,0.00053988615667902
Gaussian,neg,eta_z,xhat,7,0.000357216748176618
Gaussian,neg,eta_z,xhat,8,0.000236353171125564
Gaussian,neg,eta_z,xhat,9,0.000156383545246012
Gaussian,neg,eta_z,xhat,10,0.000103471483404469
Gaussian,neg,eta_z,xhat,11,6.84621125648437e-05
Gaussian,neg,eta_z,xhat,12,4.52980927945147e-05
Gaussian,neg,eta_z,xhat,13,2.99715730927415e-05
Gaussian,neg,eta_z,xhat,14,1.98307508823525e-05
Gaussian,neg,eta_z,xhat,15,1.3121055719737e-05
Gaussian,neg,eta_z,pihat,1,0.00123418323053576
Gaussian,neg,eta_z,pihat,2,0.000816599786477194
Gaussian,neg,eta_z,pihat,3,0.000540304871088812
Gaussian,neg,eta_z,pihat,4,0.000357493791397714
Gaussian,neg,eta_z,pihat,5,0.000236536477323197
Gaussian,neg,eta_z,pihat,6,0.00015650483015584
Gaussian,neg,eta_z,pihat,7,0.000103551731806002
Gaussian,neg,eta_z,pihat,8,6.85152090791347e-05
Gaussian,neg,eta_z,pihat,9,4.53332242086684e-05
Gaussian,neg,eta_z,pihat,10,2.99948178626977e-05
Gaussian,neg,eta_z,pihat,11,1.984613083056e-05
Gaussian,neg,eta_z,pihat,12,1.31312318930092e-05
Gaussian,neg,eta_z,pihat,13,8.6883056702639e-06
Gaussian,neg,eta_z,pihat,14,5.74863470807398e-06
Gaussian,neg,eta_z,pihat,15,3.80359557559817e-06
Gaussian,neg,eta_z,yhat,1,0.00425749441923339
Gaussian,neg,eta_z,yhat,2,0.00281697964099272
Gaussian,neg,eta_z,yhat,3,0.00186386017605077
Gaussian,neg,eta_z,yhat,4,0.00123322678847752
Gaussian,neg,eta_z,yhat,5,0.00081596695468918
Gaussian,neg,eta_z,yhat,6,0.00053988615667902
Gaussian,neg,eta_z,yhat,7,0.000357216748176618
Gaussian,neg,eta_z,yhat,8,0.000236353171125564
Gaussian,neg,eta_z,yhat,9,0.000156383545246012
Gaussian,neg,eta_z,yhat,10,0.000103471483404469
Gaussian,neg,eta_z,yhat,11,6.84621125648437e-05
Gaussian,neg,eta_z,yhat,12,4.52980927945147e-05
Gaussian,neg,eta_z,yhat,13,2.99715730927415e-05
Gaussian,neg,eta_z,yhat,14,1.98307508823525e-05
Gaussian,neg,eta_z,yhat,15,1.3121055719737e-05
Gaussian,neg,eta_z,ghat,1,-0.00455837471542108
Gaussian,neg,eta_z,ghat,2,-0.00144051477824067
Gaussian,neg,eta_z,ghat,3,-0.000953119464941954
Gaussian,neg,eta_z,ghat,4,-0.000630633387573248
Gaussian,neg,eta_z,ghat,5,-0.000417259833788339
Gaussian,neg,eta_z,ghat,6,-0.00027608079801016
Gaussian,neg,eta_z,ghat,7,-0.000182669408502402
Gaussian,neg,eta_z,ghat,8,-0.000120863577051054
Gaussian,neg,eta_z,ghat,9,-7.9969625879552e-05
Gaussian,neg,eta_z,ghat,10,-5.29120618415432e-05
Gaussian,neg,eta_z,ghat,11,-3.50093708396249e-05
Gaussian,neg,eta_z,ghat,12,-2.3164019770329e-05
Gaussian,neg,eta_z,ghat,13,-1.53265197017732e-05
Gaussian,neg,eta_z,ghat,14,-1.0140822210389e-05
Gaussian,neg,eta_z,ghat,15,-6.70969516261554e-06
Gaussian,neg,eta_z,rhat,1,-0.000623914991763472
Gaussian,neg,eta_z,rhat,2,-0.000412814593853144
Gaussian,neg,eta_z,rhat,3,-0.000273139596175535
Gaussian,neg,eta_z,rhat,4,-0.000180723356465144
Gaussian,neg,eta_z,rhat,5,-0.00011957596785432
Gaussian,neg,eta_z,rhat,6,-7.9117676696401e-05
Gaussian,neg,eta_z,rhat,7,-5.23483679719201e-05
Gaussian,neg,eta_z,rhat,8,-3.46364016708838e-05
Gaussian,neg,eta_z,rhat,9,-2.29172439788457e-05
Gaussian,neg,eta_z,rhat,10,-1.5163240009065e-05
Gaussian,neg,eta_z,rhat,11,-1.00327878773199e-05
Gaussian,neg,eta_z,rhat,12,-6.63821403150939e-06
Gaussian,neg,eta_z,rhat,13,-4.39218750231511e-06
Gaussian,neg,eta_z,rhat,14,-2.90609958701745e-06
Gaussian,neg,eta_z,rhat,15,-1.92282656540002e-06
Gaussian,neg,eta_z,rAnnualized,1,-0.00249565996705389
Gaussian,neg,eta_z,rAnnualized,2,-0.00165125837541258
Gaussian,neg,eta_z,rAnnualized,3,-0.00109255838470214
Gaussian,neg,eta_z,rAnnualized,4,-0.000722893425860574
Gaussian,neg,eta_z,rAnnualized,5,-0.00047830387141728
Gaussian,neg,eta_z,rAnnualized,6,-0.000316470706785604
Gaussian,neg,eta_z,rAnnualized,7,-0.00020939347188768
Gaussian,neg,eta_z,rAnnualized,8,-0.000138545606683535
Gaussian,neg,eta_z,rAnnualized,9,-9.16689759153828e-05
Gaussian,neg,eta_z,rAnnualized,10,-6.06529600362602e-05
Gaussian,neg,eta_z,rAnnualized,11,-4.01311515092796e-05
Gaussian,neg,eta_z,rAnnualized,12,-2.65528561260375e-05
Gaussian,neg,eta_z,rAnnualized,13,-1.75687500092605e-05
Gaussian,neg,eta_z,rAnnualized,14,-1.16243983480698e-05
Gaussian,neg,eta_z,rAnnualized,15,-7.69130626160007e-06
Gaussian,neg,eta_z,piAnnualized,1,0.00493673292214304
Gaussian,neg,eta_z,piAnnualized,2,0.00326639914590878
Gaussian,neg,eta_z,piAnnualized,3,0.00216121948435525
Gaussian,neg,eta_z,piAnnualized,4,0.00142997516559086
Gaussian,neg,eta_z,piAnnualized,5,0.000946145909292788
Gaussian,neg,eta_z,piAnnualized,6,0.000626019320623362
Gaussian,neg,eta_z,piAnnualized,7,0.000414206927224007
Gaussian,neg,eta_z,piAnnualized,8,0.000274060836316539
Gaussian,neg,eta_z,piAnnualized,9,0.000181332896834674
Gaussian,neg,eta_z,piAnnualized,10,0.000119979271450791
