distribution,type,parameter,x,density
posterior,deep,OMEGA,0.2392614534751,1.33388878424125
posterior,deep,OMEGA,0.240882242099549,1.28255737495279
posterior,deep,OMEGA,0.242503030723999,1.23357711798061
posterior,deep,OMEGA,0.244123819348448,1.18622692283787
posterior,deep,OMEGA,0.245744607972897,1.14011138513757
posterior,deep,OMEGA,0.247365396597347,1.09499921122539
posterior,deep,OMEGA,0.248986185221796,1.05060466595809
posterior,deep,OMEGA,0.250606973846246,1.00654070463088
posterior,deep,OMEGA,0.252227762470695,0.962509233499989
posterior,deep,OMEGA,0.253848551095145,0.918570634440372
posterior,deep,OMEGA,0.255469339719594,0.875250040005751
posterior,deep,OMEGA,0.257090128344044,0.833369235767955
posterior,deep,OMEGA,0.258710916968493,0.793717749573802
posterior,deep,OMEGA,0.260331705592942,0.756791453069354
posterior,deep,OMEGA,0.261952494217392,0.722742787688643
posterior,deep,OMEGA,0.263573282841841,0.691499861649852
posterior,deep,OMEGA,0.265194071466291,0.662894251714002
posterior,deep,OMEGA,0.26681486009074,0.636675090481936
posterior,deep,OMEGA,0.268435648715189,0.61242234838214
posterior,deep,OMEGA,0.270056437339639,0.589480368782987
posterior,deep,OMEGA,0.271677225964088,0.567032868684508
posterior,deep,OMEGA,0.273298014588538,0.5443433927205
posterior,deep,OMEGA,0.274918803212987,0.521063378814836
posterior,deep,OMEGA,0.276539591837437,0.497441455720385
posterior,deep,OMEGA,0.278160380461886,0.474294068720477
posterior,deep,OMEGA,0.279781169086336,0.452709017855374
posterior,deep,OMEGA,0.281401957710785,0.433593471901806
posterior,deep,OMEGA,0.283022746335234,0.417268828590923
posterior,deep,OMEGA,0.284643534959684,0.403300200363976
posterior,deep,OMEGA,0.286264323584133,0.390632353143269
posterior,deep,OMEGA,0.287885112208583,0.377954228995994
posterior,deep,OMEGA,0.289505900833032,0.364118636714146
posterior,deep,OMEGA,0.291126689457482,0.348449980422827
posterior,deep,OMEGA,0.292747478081931,0.330859066987067
posterior,deep,OMEGA,0.29436826670638,0.311782625631612
posterior,deep,OMEGA,0.29598905533083,0.29201746014038
posterior,deep,OMEGA,0.297609843955279,0.272514092860524
posterior,deep,OMEGA,0.299230632579729,0.254165460460187
posterior,deep,OMEGA,0.300851421204178,0.237613375379297
posterior,deep,OMEGA,0.302472209828628,0.223110239714367
posterior,deep,OMEGA,0.304092998453077,0.21048897509843
posterior,deep,OMEGA,0.305713787077526,0.199272368870002
posterior,deep,OMEGA,0.307334575701976,0.188887251419451
posterior,deep,OMEGA,0.308955364326425,0.178882153139999
posterior,deep,OMEGA,0.310576152950875,0.169040533734756
posterior,deep,OMEGA,0.312196941575324,0.159353296669611
posterior,deep,OMEGA,0.313817730199774,0.149910330343566
posterior,deep,OMEGA,0.315438518824223,0.140810403164495
posterior,deep,OMEGA,0.317059307448673,0.132142883166529
posterior,deep,OMEGA,0.318680096073122,0.124014831238886
posterior,deep,OMEGA,0.320300884697571,0.116560219378762
posterior,deep,OMEGA,0.321921673322021,0.109900238707187
posterior,deep,OMEGA,0.32354246194647,0.104081993354908
posterior,deep,OMEGA,0.32516325057092,0.0990478652930347
posterior,deep,OMEGA,0.326784039195369,0.0946617177397719
posterior,deep,OMEGA,0.328404827819818,0.0907718306859407
posterior,deep,OMEGA,0.330025616444268,0.0872653635807188
posterior,deep,OMEGA,0.331646405068717,0.0840802691714078
posterior,deep,OMEGA,0.333267193693167,0.0811730385907145
posterior,deep,OMEGA,0.334887982317616,0.0784700635083051
posterior,deep,OMEGA,0.336508770942066,0.0758406952877922
posterior,deep,OMEGA,0.338129559566515,0.0731169524935422
posterior,deep,OMEGA,0.339750348190964,0.0701540580080424
posterior,deep,OMEGA,0.341371136815414,0.0668945352293026
posterior,deep,OMEGA,0.342991925439863,0.0633900029782462
posterior,deep,OMEGA,0.344612714064313,0.0597610510414695
posterior,deep,OMEGA,0.346233502688762,0.0561201713305854
posterior,deep,OMEGA,0.347854291313212,0.0525097273344104
posterior,deep,OMEGA,0.349475079937661,0.0488938518163149
posterior,deep,OMEGA,0.351095868562111,0.0452033101356463
posterior,deep,OMEGA,0.35271665718656,0.0414005739360838
posterior,deep,OMEGA,0.354337445811009,0.0375297884914809
posterior,deep,OMEGA,0.355958234435459,0.0337341157968405
posterior,deep,OMEGA,0.357579023059908,0.0302392171810429
posterior,deep,OMEGA,0.359199811684358,0.0273071675635511
posterior,deep,OMEGA,0.360820600308807,0.0251677274351668
posterior,deep,OMEGA,0.362441388933257,0.0239423609012941
posterior,deep,OMEGA,0.364062177557706,0.023587119908183
posterior,deep,OMEGA,0.365682966182155,0.0238819494723756
posterior,deep,OMEGA,0.367303754806605,0.0244796054863435
posterior,deep,OMEGA,0.368924543431054,0.0250023943946491
posterior,deep,OMEGA,0.370545332055504,0.025152335398609
posterior,deep,OMEGA,0.372166120679953,0.0247925679290734
posterior,deep,OMEGA,0.373786909304403,0.0239697659089839
posterior,deep,OMEGA,0.375407697928852,0.0228732077300827
posterior,deep,OMEGA,0.377028486553301,0.021752322305338
posterior,deep,OMEGA,0.378649275177751,0.0208276946064591
posterior,deep,OMEGA,0.3802700638022,0.0202261504034343
posterior,deep,OMEGA,0.38189085242665,0.0199547135238862
posterior,deep,OMEGA,0.383511641051099,0.019911773540217
posterior,deep,OMEGA,0.385132429675549,0.0199243396411808
posterior,deep,OMEGA,0.386753218299998,0.0197982599638379
posterior,deep,OMEGA,0.388374006924447,0.0193693810286848
posterior,deep,OMEGA,0.389994795548897,0.0185444018050967
posterior,deep,OMEGA,0.391615584173346,0.0173217207739215
posterior,deep,OMEGA,0.393236372797796,0.0157878693297024
posterior,deep,OMEGA,0.394857161422245,0.0140935514907129
posterior,deep,OMEGA,0.396477950046695,0.0124195211226933
posterior,deep,OMEGA,0.398098738671144,0.0109419020982601
posterior,deep,OMEGA,0.399719527295593,0.00980088971021268
posterior,deep,OMEGA,0.401340315920043,0.00907307243062874
posterior,deep,OMEGA,0.402961104544492,0.00875062924756625
posterior,deep,OMEGA,0.404581893168942,0.00873690583277285
posterior,deep,OMEGA,0.406202681793391,0.00886818523874651
posterior,deep,OMEGA,0.407823470417841,0.0089608024414673
posterior,deep,OMEGA,0.40944425904229,0.00886736195219818
posterior,deep,OMEGA,0.411065047666739,0.00851868642974018
posterior,deep,OMEGA,0.412685836291189,0.00793593183823727
posterior,deep,OMEGA,0.414306624915638,0.00721325343861908
posterior,deep,OMEGA,0.415927413540088,0.00648262373888043
posterior,deep,OMEGA,0.417548202164537,0.00587331417675067
posterior,deep,OMEGA,0.419168990788987,0.00547457785944552
posterior,deep,OMEGA,0.420789779413436,0.00530864226975748
posterior,deep,OMEGA,0.422410568037885,0.00532234677854178
posterior,deep,OMEGA,0.424031356662335,0.00540365049835509
posterior,deep,OMEGA,0.425652145286784,0.00542033414359507
posterior,deep,OMEGA,0.427272933911234,0.00526674581064486
posterior,deep,OMEGA,0.428893722535683,0.0048988622378693
posterior,deep,OMEGA,0.430514511160133,0.00434331381093368
posterior,deep,OMEGA,0.432135299784582,0.00367942767334944
posterior,deep,OMEGA,0.433756088409031,0.00300602182399352
posterior,deep,OMEGA,0.435376877033481,0.0024089709288445
posterior,deep,OMEGA,0.43699766565793,0.00194069194025988
posterior,deep,OMEGA,0.43861845428238,0.00161432840508392
posterior,deep,OMEGA,0.440239242906829,0.00140970180902544
posterior,deep,OMEGA,0.441860031531279,0.00128658070375663
posterior,deep,OMEGA,0.443480820155728,0.00120100866863629
posterior,deep,OMEGA,0.445101608780177,0.00112018474446839
posterior,deep,OMEGA,0.446722397404627,0.00103131948929147
posterior,deep,OMEGA,0.448343186029076,0.000941646874826646
posterior,deep,OMEGA,0.449963974653526,0.000870317016692296
posterior,deep,OMEGA,0.451584763277975,0.000836312029723674
posterior,deep,OMEGA,0.453205551902425,0.000847987052047305
posterior,deep,OMEGA,0.454826340526874,0.000898898870899056
posterior,deep,OMEGA,0.456447129151323,0.000971773708767221
posterior,deep,OMEGA,0.458067917775773,0.00104862069200368
posterior,deep,OMEGA,0.459688706400222,0.00112150614027932
posterior,deep,OMEGA,0.461309495024672,0.00119744324477167
posterior,deep,OMEGA,0.462930283649121,0.00129368876765644
posterior,deep,OMEGA,0.464551072273571,0.00142545049705132
posterior,deep,OMEGA,0.46617186089802,0.0015930197344658
posterior,deep,OMEGA,0.467792649522469,0.00177606422379796
posterior,deep,OMEGA,0.469413438146919,0.00193861737533478
posterior,deep,OMEGA,0.471034226771368,0.00204205338128429
posterior,deep,OMEGA,0.472655015395818,0.00205913773089739
posterior,deep,OMEGA,0.474275804020267,0.00198245300692157
posterior,deep,OMEGA,0.475896592644717,0.00182442716590381
posterior,deep,OMEGA,0.477517381269166,0.00161091483268327
posterior,deep,OMEGA,0.479138169893616,0.00137276948466947
posterior,deep,OMEGA,0.480758958518065,0.00113902036153413
posterior,deep,OMEGA,0.482379747142514,0.000932650932731427
posterior,deep,OMEGA,0.484000535766964,0.000768193217455693
posterior,deep,OMEGA,0.485621324391413,0.000650653056584294
posterior,deep,OMEGA,0.487242113015863,0.00057647120231108
posterior,deep,OMEGA,0.488862901640312,0.000537188232405672
posterior,deep,OMEGA,0.490483690264762,0.000524643735407171
posterior,deep,OMEGA,0.492104478889211,0.00053461033661506
posterior,deep,OMEGA,0.49372526751366,0.000566030132201911
posterior,deep,OMEGA,0.49534605613811,0.000615987806450002
posterior,deep,OMEGA,0.496966844762559,0.000674164426418322
posterior,deep,OMEGA,0.498587633387009,0.000721697256595322
posterior,deep,OMEGA,0.500208422011458,0.000736679995728462
posterior,deep,OMEGA,0.501829210635908,0.000703686615739274
posterior,deep,OMEGA,0.503449999260357,0.000621438465070456
posterior,deep,OMEGA,0.505070787884806,0.000503734631905228
posterior,deep,OMEGA,0.506691576509256,0.00037325086400819
posterior,deep,OMEGA,0.508312365133705,0.00025222844533257
posterior,deep,OMEGA,0.509933153758155,0.000155247534162184
posterior,deep,OMEGA,0.511553942382604,8.69722555947305e-05
posterior,deep,OMEGA,0.513174731007054,4.43284915248032e-05
posterior,deep,OMEGA,0.514795519631503,2.05505410908469e-05
posterior,deep,OMEGA,0.516416308255953,8.66424723633408e-06
posterior,deep,OMEGA,0.518037096880402,3.32164951077907e-06
posterior,deep,OMEGA,0.519657885504851,1.15784226095705e-06
posterior,deep,OMEGA,0.521278674129301,3.66926229844466e-07
posterior,deep,OMEGA,0.52289946275375,1.05707140818367e-07
posterior,deep,OMEGA,0.5245202513782,2.76814351440891e-08
posterior,deep,OMEGA,0.526141040002649,6.58860788149696e-09
posterior,deep,OMEGA,0.527761828627099,1.42521816570707e-09
posterior,deep,OMEGA,0.529382617251548,2.80164780264158e-10
posterior,deep,OMEGA,0.531003405875997,5.00439689687937e-11
posterior,deep,OMEGA,0.532624194500447,8.1228357373675e-12
posterior,deep,OMEGA,0.534244983124896,1.19815268817547e-12
posterior,deep,OMEGA,0.535865771749346,1.61426427780498e-13
posterior,deep,OMEGA,0.537486560373795,2.04281036531029e-14
posterior,deep,OMEGA,0.539107348998245,2.66453525910038e-15
posterior,deep,OMEGA,0.540728137622694,1.33226762955019e-15
posterior,deep,OMEGA,0.542348926247143,1.33226762955019e-15
posterior,deep,OMEGA,0.543969714871593,2.22044604925031e-16
posterior,deep,OMEGA,0.545590503496042,8.88178419700125e-16
posterior,deep,OMEGA,0.547211292120492,8.88178419700125e-16
posterior,deep,OMEGA,0.548832080744941,4.44089209850063e-16
posterior,deep,OMEGA,0.55045286936939,8.88178419700125e-16
posterior,deep,OMEGA,0.55207365799384,6.66133814775094e-16
posterior,deep,OMEGA,0.553694446618289,8.88178419700125e-16
posterior,deep,OMEGA,0.555315235242739,4.44089209850063e-16
posterior,deep,OMEGA,0.556936023867188,2.22044604925031e-16
posterior,deep,OMEGA,0.558556812491638,8.88178419700125e-16
posterior,deep,OMEGA,0.560177601116087,4.44089209850063e-16
posterior,deep,OMEGA,0.561798389740537,4.44089209850063e-16
posterior,deep,OMEGA,0.563419178364986,8.88178419700125e-16
posterior,deep,OMEGA,0.565039966989435,2.22044604925031e-16
posterior,deep,OMEGA,0.566660755613885,2.22044604925031e-16
posterior,deep,OMEGA,0.568281544238334,-2.22044604925031e-16
posterior,deep,OMEGA,0.569902332862784,0
posterior,deep,OMEGA,0.571523121487233,8.88178419700125e-16
